id;name;disambiguatingDescription;description;longitude;latitude;streetAddress;postalCode;addressLocality;telephone;email;url;image;dateModified0a330157-18eb-4bc6-9cd2-c79e85e33b7a;Männerbad;Das Männerbad bietet eine exklusive Oase für Männer mit einem modernen Schwimmbecken.;Das Männerbad ist der perfekte Rückzugsort für Männer, die Entspannung in einer stilvollen Umgebung suchen. Es verfügt über ein grosszügiges Schwimmbecken mit kristallklarem Wasser. Unsere Einrichtungen sind darauf ausgelegt, Ihnen eine angenehme und erholsame Zeit zu bieten. Nutzen Sie unsere wöchentlichen Aquafit-Kurse oder relaxen Sie im Ruhebereich.;9.3845293;47.4165281;Fitnessstrasse 12;9011;St. Georgen;+41 71 123 45 67;info@maennerbadaqua.ch;http://www.maennerbadaqua.ch;[{'@type': 'ImageObject', 'contentUrl': 'https://demopimtsoch.sos-ch-dk-2.exoscale-cdn.com/catalog/9/1/d/9/91d967024924bd43b3cb09b58345fe5a67e5a091_maennerbad_aussenansicht.jpg'}];2025-04-15T07:54:53+02:00
24e98c4a-55f6-4661-8c1a-448609f5fa7f;GALLUS Kaufhaus;Kurzbeschreibung;Beschreibung;9.3762397;47.425618;Gallusserstrasse 5;9000;St. Gallen;[{'@type': 'ImageObject', 'contentUrl': 'https://demopimtsoch.sos-ch-dk-2.exoscale-cdn.com/catalog/6/2/a/b/62ab482c4c77789e40e524294b537d3f38375358_shoppingcenter_schweiz_sommer_nachmittag.jpg'}];2025-04-15T07:54:53+02:00
4fe05208-878d-4733-bc17-191093c1dab4;O-Outlet;Kurzbeschreibung;Beschreibung;8.8187;47.2259;[{'@type': 'ImageObject', 'contentUrl': 'https://demopimtsoch.sos-ch-dk-2.exoscale-cdn.com/catalog/c/4/7/4/c4742347e595316cd9e7bd4dc491cf541018b064_Designer_27_.jpeg'}];2025-04-15T07:54:53+02:00
58f88b89-848e-42f8-a6dd-95ddf13d8f84;Videothek Vidi;Kurzbeschreibung;Beschreibung;8.8982;47.5584;[{'@type': 'ImageObject', 'contentUrl': 'https://demopimtsoch.sos-ch-dk-2.exoscale-cdn.com/catalog/c/4/7/4/c4742347e595316cd9e7bd4dc491cf541018b064_Designer_27_.jpeg'}];2025-04-15T07:54:53+02:00
5ad77ef1-1c97-452b-9c7c-d0c02cdd0971;Musikhaus Hugo;Kurzbeschreibung;Beschreibung;8.0440;47.3923;[{'@type': 'ImageObject', 'contentUrl': 'https://demopimtsoch.sos-ch-dk-2.exoscale-cdn.com/catalog/c/4/7/4/c4742347e595316cd9e7bd4dc491cf541018b064_Designer_27_.jpeg'}];2025-04-15T07:54:53+02:00
5c0e1f0c-d226-4cec-a27d-3cbec10ec2f6;Schuhladen Flaschenfluss;Kurzbeschreibung;Beschreibung;6.9107;46.4312;[{'@type': 'ImageObject', 'contentUrl': 'https://demopimtsoch.sos-ch-dk-2.exoscale-cdn.com/catalog/2/6/2/d/262d1891948597f01f4685fb92d920626be0c71f_kinder_schuhladen_schweiz_winter_morgen.jpg'}];2025-04-15T07:54:53+02:00
67fe35c3-b935-4c4a-a0d6-082ae09620f3;Spielzeugladen Zillibilli;Kurzbeschreibung;Beschreibung;9.4087;47.2679;[{'@type': 'ImageObject', 'contentUrl': 'https://demopimtsoch.sos-ch-dk-2.exoscale-cdn.com/catalog/e/e/8/4/ee84f72eb6707c9b6947d327e0e08b822d7d588b_spielzeugladen_ohne_fenster_schweiz_shoppingcenter_fruehling.jpg'}];2025-04-15T07:54:53+02:00
68cbae18-530b-45eb-9f9a-13f23dab8548;Gasthaus Fühldichwohl;Charmantes Gasthaus in einer ruhigen Gegend der Stadt, bekannt für seine Gastfreundschaft und gemütliche Atmosphäre. Ideal für Erholungssuchende und Geschäftsreisende.;Das Gasthaus Fühldichwohl bietet seinen Gästen eine einzigartige Kombination aus traditioneller Schweizer Gastfreundschaft und modernen Annehmlichkeiten. Gelegen in einer malerischen Umgebung, lädt das Gasthaus dazu ein, sich wie zu Hause zu fühlen. Die komfortabel eingerichteten Zimmer, das hauseigene Restaurant mit lokalen Spezialitäten und der persönliche Service machen jeden Aufenthalt zu einem besonderen Erlebnis.;9.3845293;47.4165281;Wohlstrasse 14;9011;St. Georgen;+71 44 123 45 67;info@fuehldichwohl.ch;http://www.fuehldichwohl.ch;[{'@type': 'ImageObject', 'contentUrl': 'https://demopimtsoch.sos-ch-dk-2.exoscale-cdn.com/catalog/f/2/a/f/f2afebcf6a18975cfdbba4a123c8b1a2826aec21_charmantes_gasthaus_altstadt_wintermorgen.jpg'}];2025-04-15T07:54:53+02:00
6aca347a-f358-44e8-b64d-e25db957a618;Blumenladen Sternli;Kurzbeschreibung;Beschreibung;8.0337;46.624;[{'@type': 'ImageObject', 'contentUrl': 'https://demopimtsoch.sos-ch-dk-2.exoscale-cdn.com/catalog/c/4/7/4/c4742347e595316cd9e7bd4dc491cf541018b064_Designer_27_.jpeg'}];2025-04-15T07:54:53+02:00
6f9076ac-cb1f-4afe-9cb6-f9ac2ee97e10;Juwelier Diamant;Kurzbeschreibung;Beschreibung;7.6216;46.7511;[{'@type': 'ImageObject', 'contentUrl': 'https://demopimtsoch.sos-ch-dk-2.exoscale-cdn.com/catalog/c/4/7/4/c4742347e595316cd9e7bd4dc491cf541018b064_Designer_27_.jpeg'}];2025-04-15T07:54:53+02:00
703b60f2-8adf-4ddf-af6b-4e338e1cc97c;Gartenladen Tulpe;Kurzbeschreibung;Beschreibung;7.2465;47.1371;[{'@type': 'ImageObject', 'contentUrl': 'https://demopimtsoch.sos-ch-dk-2.exoscale-cdn.com/catalog/c/4/7/4/c4742347e595316cd9e7bd4dc491cf541018b064_Designer_27_.jpeg'}];2025-04-15T07:54:53+02:00
80ccd440-1b83-4b71-a32a-20151542045a;Office Tools;Kurzbeschreibung;Beschreibung;6.6412;46.7785;[{'@type': 'ImageObject', 'contentUrl': 'https://demopimtsoch.sos-ch-dk-2.exoscale-cdn.com/catalog/c/4/7/4/c4742347e595316cd9e7bd4dc491cf541018b064_Designer_27_.jpeg'}];2025-04-15T07:54:53+02:00
8143a306-806a-4e29-9da0-6af5e4e6b20c;Schnapsladen Brennsprit;Kurzbeschreibung;Beschreibung;7.3594;46.2293;[{'@type': 'ImageObject', 'contentUrl': 'https://demopimtsoch.sos-ch-dk-2.exoscale-cdn.com/catalog/c/4/7/4/c4742347e595316cd9e7bd4dc491cf541018b064_Designer_27_.jpeg'}];2025-04-15T07:54:53+02:00
8af20f94-1194-404c-adf2-bb0415603ac4;U Electronics Gallus;Kurzbeschreibung;Beschreibung;8.302817;47.131356;[{'@type': 'ImageObject', 'contentUrl': 'https://demopimtsoch.sos-ch-dk-2.exoscale-cdn.com/catalog/c/4/7/4/c4742347e595316cd9e7bd4dc491cf541018b064_Designer_27_.jpeg'}];2025-04-15T07:54:53+02:00
a9180407-827b-46e3-b3da-e8b4a6b33379;Haushaltswarengeschäft Besen;Kurzbeschreibung;Beschreibung;7.1614;46.8065;[{'@type': 'ImageObject', 'contentUrl': 'https://demopimtsoch.sos-ch-dk-2.exoscale-cdn.com/catalog/c/4/7/4/c4742347e595316cd9e7bd4dc491cf541018b064_Designer_27_.jpeg'}];2025-04-15T07:54:53+02:00
b439d18a-76c6-4ecd-897c-3b1fa944ecde;Sportgeschäft Bally;Kurzbeschreibung;Beschreibung;7.7500;46.0166;[{'@type': 'ImageObject', 'contentUrl': 'https://demopimtsoch.sos-ch-dk-2.exoscale-cdn.com/catalog/c/4/7/4/c4742347e595316cd9e7bd4dc491cf541018b064_Designer_27_.jpeg'}];2025-04-15T07:54:53+02:00
d363b252-3cc1-4e40-b460-23c6020a9435;Zora;Kurzbeschreibung;Beschreibung;6.6323;46.5197;[{'@type': 'ImageObject', 'contentUrl': 'https://demopimtsoch.sos-ch-dk-2.exoscale-cdn.com/catalog/c/e/e/1/cee1d5556e865e4cfee6e33c5250ac31ac3cf80d_keiderladen_schweiz_fruehling.jpg'}];2025-04-15T07:54:53+02:00
da5111dd-9d60-44f1-b9c0-100f22a40ee0;Bike World 44;Kurzbeschreibung;Beschreibung;6.1432;46.2044;[{'@type': 'ImageObject', 'contentUrl': 'https://demopimtsoch.sos-ch-dk-2.exoscale-cdn.com/catalog/c/4/7/4/c4742347e595316cd9e7bd4dc491cf541018b064_Designer_27_.jpeg'}];2025-04-15T07:54:55+02:00
dbe8ebf5-11bf-41e8-824e-25be897db748;Mobile-Shop Phone;Kurzbeschreibung;Beschreibung;8.5152;47.1660;[{'@type': 'ImageObject', 'contentUrl': 'https://demopimtsoch.sos-ch-dk-2.exoscale-cdn.com/catalog/c/4/7/4/c4742347e595316cd9e7bd4dc491cf541018b064_Designer_27_.jpeg'}];2025-04-15T07:54:55+02:00
e676e2a5-088e-4ebc-b5d3-81bd3f76c986;Gemischtwarenladen Schubiger;Kurzbeschreibung;Beschreibung;9.3767;47.4245;[{'@type': 'ImageObject', 'contentUrl': 'https://demopimtsoch.sos-ch-dk-2.exoscale-cdn.com/catalog/c/4/7/4/c4742347e595316cd9e7bd4dc491cf541018b064_Designer_27_.jpeg'}];2025-04-15T07:54:55+02:00
ec13cf06-cffa-4441-b399-4eaa9fa89b57;Bücher Liselot;Kurzbeschreibung;Beschreibung;7.5886;47.5596;[{'@type': 'ImageObject', 'contentUrl': 'https://demopimtsoch.sos-ch-dk-2.exoscale-cdn.com/catalog/b/6/4/1/b6413a12210be3513ac212f56b4842a514509d18_altstadt_schweiz_buchhandlung_sommernachmittag.jpg'}];2025-04-15T07:54:55+02:00
ef1fa652-b507-4740-9c96-a262b7c91602;Lebensmittelbetrieb Apfelmühle;Kurzbeschreibung;Beschreibung;9.2042148;47.4661193;Boskopgasse 7;9246;Niederbüren;[{'@type': 'ImageObject', 'contentUrl': 'https://demopimtsoch.sos-ch-dk-2.exoscale-cdn.com/catalog/0/7/7/4/0774ead4b41fc5d2c74be6af8e3399488e38648c_Designer_18_.jpeg'}];2025-04-15T07:54:55+02:00
f0108708-a048-480e-a298-4f22bc0f3380;Tierhandlung Zooly;Kurzbeschreibung;Beschreibung;7.4137;46.9313;[{'@type': 'ImageObject', 'contentUrl': 'https://demopimtsoch.sos-ch-dk-2.exoscale-cdn.com/catalog/c/4/7/4/c4742347e595316cd9e7bd4dc491cf541018b064_Designer_27_.jpeg'}];2025-04-15T07:54:55+02:00
f8892b83-4ead-428c-9c1f-5b67ca9bf871;Auto Teile Derender;Kurzbeschreibung;Beschreibung;8.5417;47.3769;[{'@type': 'ImageObject', 'contentUrl': 'https://demopimtsoch.sos-ch-dk-2.exoscale-cdn.com/catalog/c/4/7/4/c4742347e595316cd9e7bd4dc491cf541018b064_Designer_27_.jpeg'}];2025-04-15T07:54:55+02:00
fbbd4d95-f49f-4b00-a758-b53cc556b4f9;Reifenladen Rady;Kurzbeschreibung;Beschreibung;7.7500;46.0166;[{'@type': 'ImageObject', 'contentUrl': 'https://demopimtsoch.sos-ch-dk-2.exoscale-cdn.com/catalog/c/4/7/4/c4742347e595316cd9e7bd4dc491cf541018b064_Designer_27_.jpeg'}];2025-04-15T07:54:55+02:00
